id,Title,ReleaseDate,Rating,NumberofReviews,Plays,year,game_type,score
981,The Callisto Protocol,"Dec 02, 2022",2.9,70756.0,543169.0,2022,new,Good
982,The Wolf Among Us,"Oct 11, 2013",3.9,700569.0,65.61,2013,new,Great
983,Dead Space 2,"Jan 25, 2011",4.0,600625.0,36.0,2011,new,Great
984,Super Mario Bros. 2,"Oct 09, 1988",3.1,746496.0,70.56,1988,retro,Great
985,Until Dawn,"Aug 25, 2015",3.4,659344.0,64.0,2015,new,Great
986,Kid Icarus: Uprising,"Mar 22, 2012",4.1,739600.0,29.16,2012,new,Amazing
987,Chained Echoes,"Dec 08, 2022",4.2,36481.0,198025.0,2022,new,Amazing
988,BioShock Remastered,"Sep 14, 2016",4.0,259081.0,23.04,2016,new,Great
989,Sonic Unleashed,"Nov 20, 2008",3.3,529984.0,42.25,2008,new,Great
990,Yakuza 5 Remastered,"Jun 20, 2019",4.1,442225.0,8.41,2019,new,Amazing
991,Metal Gear Solid 3: Subsistence,"Dec 22, 2005",4.6,410881.0,13.69,2005,new,Amazing
992,Super Mario World 2: Yoshi's Island,"Aug 05, 1995",4.1,1.21,50.41,1995,retro,Amazing
993,Devil May Cry 4,"Jan 31, 2008",3.6,261121.0,42.25,2008,new,Great
994,Donut County,"Aug 28, 2018",3.4,483025.0,31.36,2018,new,Great
995,Assassin's Creed Origins,"Oct 26, 2017",3.4,620944.0,51.84,2017,new,Great
996,Ghostwire: Tokyo,"Mar 24, 2022",3.1,149769.0,1.44,2022,new,Great
997,Yakuza 4 Remastered,"Jan 17, 2019",3.7,429025.0,12.25,2019,new,Great
998,Call of Duty: Modern Warfare II,"Oct 28, 2022",3.3,120409.0,2.56,2022,new,Great
999,Crash Bandicoot 4: It's About Time,"Oct 02, 2020",3.8,488601.0,10.24,2020,new,Great
1000,Grand Theft Auto III,"Oct 22, 2001",3.3,505521.0,60.84,2001,new,Great
1001,Dead by Daylight,"Jun 14, 2016",3.0,203401.0,50.41,2016,new,Good
1002,Abzu,"Aug 02, 2016",3.4,509796.0,29.16,2016,new,Great
1003,Batman: Arkham Origins,"Oct 16, 2013",3.4,412164.0,60.84,2013,new,Great
1004,Splatoon 2,"Jul 21, 2017",3.8,541696.0,79.21,2017,new,Great
1005,Pokémon HeartGold,"Sep 12, 2009",4.2,795664.0,90.25,2009,new,Amazing
1006,Kena: Bridge of Spirits,"Sep 20, 2021",3.6,241081.0,4.0,2021,new,Great
1007,Final Fantasy VIII,"Feb 11, 1999",3.6,964324.0,26.01,1999,retro,Great
1008,The Elder Scrolls IV: Oblivion,"Mar 20, 2006",3.7,525625.0,65.61,2006,new,Great
1009,The Silver Case,"Oct 07, 2016",4.2,410881.0,1.96,2016,new,Amazing
1010,Marvel's Spider-Man Remastered,"Nov 12, 2020",4.2,112225.0,7.84,2020,new,Amazing
1011,Alan Wake,"May 14, 2010",3.6,492804.0,38.44,2010,new,Great
1012,A Way Out,"Mar 23, 2018",3.6,384400.0,40.96,2018,new,Great
1013,LEGO Batman: The Video Game,"Apr 18, 2008",3.6,413449.0,77.44,2008,new,Great
1014,Borderlands 3,"Sep 13, 2019",3.2,280900.0,32.49,2019,new,Great
1015,Dragon Ball FighterZ,"Jan 26, 2018",3.7,363609.0,60.84,2018,new,Great
1016,Ico,"Sep 24, 2001",4.0,450241.0,12.25,2001,new,Great
1017,Shin Megami Tensei III: Nocturne - HD Remaster,"Oct 28, 2020",4.0,208849.0,3.24,2020,new,Great
1018,The Witness,"Jan 26, 2016",3.6,423801.0,28.09,2016,new,Great
1019,Animal Crossing: New Leaf,"Nov 08, 2012",4.0,660969.0,98.01,2012,new,Great
1020,Wo Long: Fallen Dynasty,"Mar 03, 2023",3.5,80656.0,263169.0,2023,new,Great
1021,Final Fantasy VII Remake Intergrade,"Jun 10, 2021",4.2,198025.0,5.76,2021,new,Amazing
1022,Sonic Adventure 2,"Jun 23, 2001",3.6,708964.0,26.01,2001,new,Great
1023,Destiny 2,"Sep 06, 2017",2.9,257049.0,75.69,2017,new,Good
1024,Kirby's Dream Land,"Apr 27, 1992",3.2,477481.0,28.09,1992,retro,Great
1043,Mario Kart 8,"May 29, 2014",3.9,413449.0,86.49,2014,new,Great
1044,Xenoblade Chronicles,"Jun 10, 2010",4.2,685584.0,15.21,2010,new,Amazing
1045,The Forgotten City,"Jul 28, 2021",3.9,221841.0,2.89,2021,new,Great
1046,Untitled Goose Game,"Sep 20, 2019",3.6,412164.0,42.25,2019,new,Great
1047,Sonic Adventure 2: Battle,"Dec 20, 2001",3.7,550564.0,46.24,2001,new,Great
1048,Saints Row: The Third,"Nov 15, 2011",3.4,232324.0,88.36,2011,new,Great
1049,Call of Duty: Black Ops III,"Nov 06, 2015",3.1,302500.0,67.24,2015,new,Great
1050,Pokémon Red,"Feb 27, 1996",3.4,538756.0,77.44,1996,retro,Great
1051,Tinykin,"Aug 30, 2022",4.0,173056.0,567009.0,2022,new,Great
1052,Dragon's Dogma: Dark Arisen,"Apr 23, 2013",3.8,209764.0,10.89,2013,new,Great
1053,Brawlhalla,"Apr 30, 2014",2.6,87025.0,47.61,2014,new,Good
1054,Pokémon Unite,"Jul 20, 2021",2.7,81225.0,20.25,2021,new,Good
1055,Black Mesa,"Mar 06, 2020",4.1,210681.0,13.69,2020,new,Amazing
1056,The Messenger,"Aug 30, 2018",3.8,375769.0,13.69,2018,new,Great
1057,Jet Set Radio,"Sep 18, 2012",3.7,254016.0,12.25,2012,new,Great
1058,Pathologic 2,"May 23, 2019",4.3,263169.0,1.69,2019,new,Amazing
1059,Tactics Ogre: Reborn,"Nov 11, 2022",4.1,42436.0,77841.0,2022,new,Amazing
1060,Hyper Light Drifter,"Mar 31, 2016",3.8,358801.0,16.0,2016,new,Great
1061,Left 4 Dead,"Nov 17, 2008",3.6,238144.0,73.96,2008,new,Great
1062,The 25th Ward: The Silver Case,"Mar 13, 2018",4.4,232324.0,564001.0,2018,new,Amazing
1063,Darkest Dungeon,"Jan 19, 2016",3.6,226576.0,27.04,2016,new,Great
1064,Roblox,"Sep 01, 2006",2.8,34969.0,26.01,2006,new,Good
1065,The Last Guardian,"Dec 06, 2016",3.7,432964.0,10.24,2016,new,Great
1066,Drakengard 3,"Dec 19, 2013",3.8,253009.0,3.61,2013,new,Great
1067,Half-Life 2: Episode One,"Jun 01, 2006",3.7,219961.0,49.0,2006,new,Great
1068,Assassin's Creed Revelations,"Nov 14, 2011",3.3,394384.0,75.69,2011,new,Great
1069,Half-Life 2: Episode Two,"Oct 09, 2007",4.1,267289.0,47.61,2007,new,Amazing
1070,Mega Man,"Dec 17, 1987",2.8,408321.0,29.16,1987,retro,Good
1071,PowerWash Simulator,"May 19, 2021",3.7,92416.0,2.89,2021,new,Great
1072,Cave Story,"Dec 20, 2004",4.2,294849.0,13.69,2004,new,Amazing
1073,Final Fantasy XIV: Shadowbringers,"Jul 02, 2019",4.6,160801.0,9.0,2019,new,Amazing
1074,Days Gone,"Apr 26, 2019",3.2,372100.0,15.21,2019,new,Great
1075,Tom Clancy's Rainbow Six Siege,"Dec 01, 2015",3.2,179776.0,62.41,2015,new,Great
1076,Trek to Yomi,"May 05, 2022",2.7,68644.0,1.0,2022,new,Good
1077,Sonic CD,"Sep 23, 1993",3.4,395641.0,24.01,1993,retro,Great
1078,Mario Kart: Double Dash!!,"Nov 07, 2003",3.9,652864.0,70.56,2003,new,Great
1079,Rayman Origins,"Nov 15, 2011",3.8,299209.0,38.44,2011,new,Great
1080,Klonoa Phantasy Reverie Series,"Jul 08, 2022",3.8,38809.0,418609.0,2022,new,Great
1081,Hitman 2,"Nov 13, 2018",4.0,366025.0,25.0,2018,new,Great
1082,Max Payne 3,"May 15, 2012",3.7,351649.0,31.36,2012,new,Great
1083,Catherine: Full Body,"Feb 14, 2019",3.8,203401.0,6.76,2019,new,Great
1084,Kirby: Planet Robobot,"Apr 28, 2016",4.2,447561.0,12.96,2016,new,Amazing
